position,gene,ID,type,start,end,strand,strain,central_gene,core_status,isolate_count
7,ilvG,ECOR47_00876,CDS,3813,5459,+,ECOR47_PROKKA,aceA,soft_core,42
8,ilvM,ECOR47_00877,CDS,5456,5719,+,ECOR47_PROKKA,aceA,core,44
9,ilvE,ECOR47_00878,CDS,5739,6668,+,ECOR47_PROKKA,aceA,core,44
10,ilvD,ECOR47_00879,CDS,6733,8583,+,ECOR47_PROKKA,aceA,core,44
-9,sorA,ECOR47_00857,CDS,64279,65076,+,ECOR47_PROKKA,aceK,non_core,34
-8,sorM,ECOR47_00858,CDS,65087,65911,+,ECOR47_PROKKA,aceK,non_core,34
-7,yggP_1,ECOR47_00859,CDS,65963,67192,+,ECOR47_PROKKA,aceK,non_core,34
-6,pepE,ECOR47_00860,CDS,67574,68263,+,ECOR47_PROKKA,aceK,core,44
-5,,ECOR47_00861,CDS,68353,69984,-,ECOR47_PROKKA,aceK,soft_core,43
-4,metH,ECOR47_00862,CDS,70204,73887,-,ECOR47_PROKKA,aceK,soft_core,43
-3,iclR,ECOR47_00863,CDS,74087,74911,+,ECOR47_PROKKA,aceK,soft_core,43
-2,,ECOR47_00864,CDS,75228,77414,+,ECOR47_PROKKA,aceK,non_core,17
-1,aceK,ECOR47_00865,CDS,77383,79119,-,ECOR47_PROKKA,aceK,soft_core,43
1,aceA,ECOR47_00866,CDS,79168,80472,-,ECOR47_PROKKA,aceK,soft_core,43
2,aceB,ECOR47_00867,CDS,80502,82103,-,ECOR47_PROKKA,aceK,core,44
3,metAS,ECOR47_00868,CDS,82372,83301,-,ECOR47_PROKKA,aceK,core,44
4,yjaB,ECOR47_00869,CDS,83458,83901,+,ECOR47_PROKKA,aceK,core,44
5,hdfR_1,ECOR47_00873,CDS,380,1219,-,ECOR47_PROKKA,aceK,core,44
6,,ECOR47_00874,CDS,1338,1676,+,ECOR47_PROKKA,aceK,core,44
7,comM,ECOR47_00875,CDS,1702,3222,-,ECOR47_PROKKA,aceK,core,44
8,ilvG,ECOR47_00876,CDS,3813,5459,+,ECOR47_PROKKA,aceK,soft_core,42
9,ilvM,ECOR47_00877,CDS,5456,5719,+,ECOR47_PROKKA,aceK,core,44
10,ilvE,ECOR47_00878,CDS,5739,6668,+,ECOR47_PROKKA,aceK,core,44
-8,tesB,ECOR47_00001,CDS,78,938,-,ECOR47_PROKKA,acrB_2,core,44
-7,ybaY,ECOR47_00002,CDS,1156,1728,+,ECOR47_PROKKA,acrB_2,core,44
-6,atl,ECOR47_00003,CDS,1759,2070,-,ECOR47_PROKKA,acrB_2,core,44
-5,ybaA,ECOR47_00004,CDS,2449,2802,+,ECOR47_PROKKA,acrB_2,core,44
-4,pdeB,ECOR47_00005,CDS,2844,4394,-,ECOR47_PROKKA,acrB_2,core,44
-3,ylaC,ECOR47_00006,CDS,4558,5028,-,ECOR47_PROKKA,acrB_2,core,44
-2,maa,ECOR47_00007,CDS,5144,5695,-,ECOR47_PROKKA,acrB_2,core,44
-1,hha,ECOR47_00008,CDS,5867,6085,-,ECOR47_PROKKA,acrB_2,core,44
1,tomB,ECOR47_00009,CDS,6111,6485,-,ECOR47_PROKKA,acrB_2,core,44
2,acrB_1,ECOR47_00010,CDS,7031,10180,-,ECOR47_PROKKA,acrB_2,soft_core,43
3,acrA,ECOR47_00011,CDS,10203,11396,-,ECOR47_PROKKA,acrB_2,core,44
4,acrR_1,ECOR47_00012,CDS,11538,12185,+,ECOR47_PROKKA,acrB_2,core,44
5,mscK,ECOR47_00013,CDS,12313,15675,+,ECOR47_PROKKA,acrB_2,core,44
6,,ECOR47_00014,CDS,15714,15878,-,ECOR47_PROKKA,acrB_2,non_core,13
7,priC,ECOR47_00015,CDS,15892,16419,-,ECOR47_PROKKA,acrB_2,core,44
8,ybaN,ECOR47_00016,CDS,16489,16866,+,ECOR47_PROKKA,acrB_2,core,44
9,apt,ECOR47_00017,CDS,17019,17570,+,ECOR47_PROKKA,acrB_2,core,44
10,dnaX,ECOR47_00018,CDS,17699,19630,+,ECOR47_PROKKA,acrB_2,core,44
-9,garR,9d38f563c3a26fdef9221ebcd767f53a_6676,CDS,3271867,3272751,-,MG1655,agaA,core,44
-8,garL,9d38f563c3a26fdef9221ebcd767f53a_6678,CDS,3272787,3273557,-,MG1655,agaA,core,44
-7,garP,9d38f563c3a26fdef9221ebcd767f53a_6680,CDS,3273573,3274907,-,MG1655,agaA,core,44
-6,garD,9d38f563c3a26fdef9221ebcd767f53a_6682,CDS,3275282,3276853,+,MG1655,agaA,core,44
-5,prlF,9d38f563c3a26fdef9221ebcd767f53a_6684,CDS,3277002,3277337,+,MG1655,agaA,non_core,38
-4,yhaV,9d38f563c3a26fdef9221ebcd767f53a_6686,CDS,3277337,3277801,+,MG1655,agaA,non_core,38
-3,agaR,9d38f563c3a26fdef9221ebcd767f53a_6688,CDS,3277856,3278665,-,MG1655,agaA,soft_core,42
-2,kbaZ,9d38f563c3a26fdef9221ebcd767f53a_6690,CDS,3278914,3280194,+,MG1655,agaA,core,44
-1,agaV,9d38f563c3a26fdef9221ebcd767f53a_6692,CDS,3280217,3280690,+,MG1655,agaA,core,44
1,agaS,9d38f563c3a26fdef9221ebcd767f53a_6696,CDS,3281976,3283130,+,MG1655,agaA,core,44
2,kbaY,9d38f563c3a26fdef9221ebcd767f53a_6698,CDS,3283143,3284003,+,MG1655,agaA,core,44
3,agaB,9d38f563c3a26fdef9221ebcd767f53a_6700,CDS,3284170,3284646,+,MG1655,agaA,non_core,3
4,agaC,9d38f563c3a26fdef9221ebcd767f53a_6702,CDS,3284685,3285488,+,MG1655,agaA,non_core,10
5,agaD,9d38f563c3a26fdef9221ebcd767f53a_6704,CDS,3285478,3286269,+,MG1655,agaA,non_core,4
6,agaI,9d38f563c3a26fdef9221ebcd767f53a_6706,CDS,3286270,3287025,+,MG1655,agaA,core,44
7,yraH,9d38f563c3a26fdef9221ebcd767f53a_6708,CDS,3287426,3288010,+,MG1655,agaA,non_core,11
8,yraI,9d38f563c3a26fdef9221ebcd767f53a_6710,CDS,3288090,3288785,+,MG1655,agaA,non_core,11
9,yraJ,9d38f563c3a26fdef9221ebcd767f53a_6712,CDS,3288814,3291330,+,MG1655,agaA,non_core,11
10,yraK,9d38f563c3a26fdef9221ebcd767f53a_6714,CDS,3291341,3292432,+,MG1655,agaA,non_core,11
-9,diaA,ECOR47_02319,CDS,119635,120225,-,ECOR47_PROKKA,agaA,core,44
-8,,ECOR47_02320,CDS,120245,120640,-,ECOR47_PROKKA,agaA,core,44
-7,lpoA,ECOR47_02321,CDS,120598,122634,-,ECOR47_PROKKA,agaA,core,44
-6,rsmI,ECOR47_02322,CDS,122699,123562,+,ECOR47_PROKKA,agaA,core,44
-5,nagB_1,ECOR47_02323,CDS,123612,124325,-,ECOR47_PROKKA,agaA,core,44
-4,manZ_2,ECOR47_02324,CDS,124380,125171,-,ECOR47_PROKKA,agaA,non_core,41
-3,agaC_1,ECOR47_02325,CDS,125161,125964,-,ECOR47_PROKKA,agaA,non_core,35
-2,sorB_2,ECOR47_02326,CDS,126003,126479,-,ECOR47_PROKKA,agaA,soft_core,42
-1,kbaY_1,ECOR47_02327,CDS,126646,127506,-,ECOR47_PROKKA,agaA,core,44
1,agaS,ECOR47_02328,CDS,127519,128673,-,ECOR47_PROKKA,agaA,core,44
2,agaA,ECOR47_02329,CDS,129023,130156,-,ECOR47_PROKKA,agaA,soft_core,43
3,manX_2,ECOR47_02330,CDS,130153,130587,-,ECOR47_PROKKA,agaA,soft_core,42
4,manZ_3,ECOR47_02331,CDS,130605,131483,-,ECOR47_PROKKA,agaA,soft_core,42
5,agaC_2,ECOR47_02332,CDS,131473,132252,-,ECOR47_PROKKA,agaA,soft_core,43
6,levE,ECOR47_02333,CDS,132263,132736,-,ECOR47_PROKKA,agaA,core,44
7,kbaZ,ECOR47_02334,CDS,132759,134039,-,ECOR47_PROKKA,agaA,core,44
8,srlR_2,ECOR47_02335,CDS,134288,135097,+,ECOR47_PROKKA,agaA,soft_core,42
9,yhaV,ECOR47_02336,CDS,135152,135616,-,ECOR47_PROKKA,agaA,non_core,38
10,prlF,ECOR47_02337,CDS,135616,135951,-,ECOR47_PROKKA,agaA,non_core,38
-9,garK,9d38f563c3a26fdef9221ebcd767f53a_6674,CDS,3270625,3271770,-,MG1655,agaC_2,core,44
-8,garR,9d38f563c3a26fdef9221ebcd767f53a_6676,CDS,3271867,3272751,-,MG1655,agaC_2,core,44
-7,garL,9d38f563c3a26fdef9221ebcd767f53a_6678,CDS,3272787,3273557,-,MG1655,agaC_2,core,44
-6,garP,9d38f563c3a26fdef9221ebcd767f53a_6680,CDS,3273573,3274907,-,MG1655,agaC_2,core,44
-5,garD,9d38f563c3a26fdef9221ebcd767f53a_6682,CDS,3275282,3276853,+,MG1655,agaC_2,core,44
-4,prlF,9d38f563c3a26fdef9221ebcd767f53a_6684,CDS,3277002,3277337,+,MG1655,agaC_2,non_core,38
-3,yhaV,9d38f563c3a26fdef9221ebcd767f53a_6686,CDS,3277337,3277801,+,MG1655,agaC_2,non_core,38
-2,agaR,9d38f563c3a26fdef9221ebcd767f53a_6688,CDS,3277856,3278665,-,MG1655,agaC_2,soft_core,42
-1,kbaZ,9d38f563c3a26fdef9221ebcd767f53a_6690,CDS,3278914,3280194,+,MG1655,agaC_2,core,44
1,agaV,9d38f563c3a26fdef9221ebcd767f53a_6692,CDS,3280217,3280690,+,MG1655,agaC_2,core,44
2,agaS,9d38f563c3a26fdef9221ebcd767f53a_6696,CDS,3281976,3283130,+,MG1655,agaC_2,core,44
3,kbaY,9d38f563c3a26fdef9221ebcd767f53a_6698,CDS,3283143,3284003,+,MG1655,agaC_2,core,44
4,agaB,9d38f563c3a26fdef9221ebcd767f53a_6700,CDS,3284170,3284646,+,MG1655,agaC_2,non_core,3
5,agaC,9d38f563c3a26fdef9221ebcd767f53a_6702,CDS,3284685,3285488,+,MG1655,agaC_2,non_core,10
6,agaD,9d38f563c3a26fdef9221ebcd767f53a_6704,CDS,3285478,3286269,+,MG1655,agaC_2,non_core,4
7,agaI,9d38f563c3a26fdef9221ebcd767f53a_6706,CDS,3286270,3287025,+,MG1655,agaC_2,core,44
8,yraH,9d38f563c3a26fdef9221ebcd767f53a_6708,CDS,3287426,3288010,+,MG1655,agaC_2,non_core,11
9,yraI,9d38f563c3a26fdef9221ebcd767f53a_6710,CDS,3288090,3288785,+,MG1655,agaC_2,non_core,11
10,yraJ,9d38f563c3a26fdef9221ebcd767f53a_6712,CDS,3288814,3291330,+,MG1655,agaC_2,non_core,11
-9,agaC_1,ECOR47_02325,CDS,125161,125964,-,ECOR47_PROKKA,agaC_2,non_core,35
-8,sorB_2,ECOR47_02326,CDS,126003,126479,-,ECOR47_PROKKA,agaC_2,soft_core,42
-7,kbaY_1,ECOR47_02327,CDS,126646,127506,-,ECOR47_PROKKA,agaC_2,core,44
-6,agaS,ECOR47_02328,CDS,127519,128673,-,ECOR47_PROKKA,agaC_2,core,44
-5,agaA,ECOR47_02329,CDS,129023,130156,-,ECOR47_PROKKA,agaC_2,soft_core,43
-4,manX_2,ECOR47_02330,CDS,130153,130587,-,ECOR47_PROKKA,agaC_2,soft_core,42
-3,manZ_3,ECOR47_02331,CDS,130605,131483,-,ECOR47_PROKKA,agaC_2,soft_core,42
-2,agaC_2,ECOR47_02332,CDS,131473,132252,-,ECOR47_PROKKA,agaC_2,soft_core,43
-1,levE,ECOR47_02333,CDS,132263,132736,-,ECOR47_PROKKA,agaC_2,core,44
1,kbaZ,ECOR47_02334,CDS,132759,134039,-,ECOR47_PROKKA,agaC_2,core,44
2,srlR_2,ECOR47_02335,CDS,134288,135097,+,ECOR47_PROKKA,agaC_2,soft_core,42
3,yhaV,ECOR47_02336,CDS,135152,135616,-,ECOR47_PROKKA,agaC_2,non_core,38
4,prlF,ECOR47_02337,CDS,135616,135951,-,ECOR47_PROKKA,agaC_2,non_core,38
5,garD,ECOR47_02338,CDS,136100,137671,-,ECOR47_PROKKA,agaC_2,core,44
6,garP,ECOR47_02339,CDS,138046,139380,+,ECOR47_PROKKA,agaC_2,core,44
7,garL,ECOR47_02340,CDS,139396,140166,+,ECOR47_PROKKA,agaC_2,core,44
8,garR,ECOR47_02341,CDS,140196,141086,+,ECOR47_PROKKA,agaC_2,core,44
9,garK,ECOR47_02342,CDS,141183,142328,+,ECOR47_PROKKA,agaC_2,core,44
10,,ECOR47_02343,CDS,142845,144032,-,ECOR47_PROKKA,agaC_2,non_core,8
-9,allR,ECOR47_00055,CDS,80358,81173,+,ECOR47_PROKKA,allC,core,44
-8,gcl,ECOR47_00056,CDS,81263,83044,+,ECOR47_PROKKA,allC,core,44
-7,hyi,ECOR47_00057,CDS,83057,83833,+,ECOR47_PROKKA,allC,core,44
-6,glxR,ECOR47_00058,CDS,83933,84811,+,ECOR47_PROKKA,allC,core,44
-5,ybbW,ECOR47_00059,CDS,84981,86435,+,ECOR47_PROKKA,allC,soft_core,42
-4,allB_1,ECOR47_00060,CDS,86495,87247,+,ECOR47_PROKKA,allC,non_core,41
-3,allB_2,ECOR47_00061,CDS,87248,87856,+,ECOR47_PROKKA,allC,non_core,4
-2,ybbY,ECOR47_00062,CDS,87913,89214,+,ECOR47_PROKKA,allC,core,44
-1,glxK,ECOR47_00063,CDS,89236,90381,+,ECOR47_PROKKA,allC,core,44
1,allE,ECOR47_00064,CDS,90511,91296,-,ECOR47_PROKKA,allC,core,44
2,allC,ECOR47_00065,CDS,91307,92542,-,ECOR47_PROKKA,allC,soft_core,43
3,allD,ECOR47_00066,CDS,92564,93613,-,ECOR47_PROKKA,allC,core,44
4,fdrA_1,ECOR47_00067,CDS,93930,95597,+,ECOR47_PROKKA,allC,soft_core,43
5,,ECOR47_00068,CDS,95607,96866,+,ECOR47_PROKKA,allC,soft_core,43
6,,ECOR47_00069,CDS,96877,97692,+,ECOR47_PROKKA,allC,core,44
7,arcC2_1,ECOR47_00070,CDS,97689,98582,+,ECOR47_PROKKA,allC,core,44
8,purK,ECOR47_00071,CDS,98719,99786,-,ECOR47_PROKKA,allC,core,44
9,purE,ECOR47_00072,CDS,99783,100292,-,ECOR47_PROKKA,allC,core,44
10,lpxH,ECOR47_00073,CDS,100410,101132,-,ECOR47_PROKKA,allC,core,44
-9,ppiB,ECOR6_03152,CDS,4049,4543,+,ECOR6_PROKKA,allC,core,44
-8,lpxH,ECOR6_03153,CDS,4546,5268,+,ECOR6_PROKKA,allC,core,44
-7,purE,ECOR6_03154,CDS,5386,5895,+,ECOR6_PROKKA,allC,core,44
-6,purK,ECOR6_03155,CDS,5892,6959,+,ECOR6_PROKKA,allC,core,44
-5,arcC2_2,ECOR6_03156,CDS,7154,8047,-,ECOR6_PROKKA,allC,core,44
-4,,ECOR6_03157,CDS,8044,8859,-,ECOR6_PROKKA,allC,core,44
-3,,ECOR6_03158,CDS,8870,10129,-,ECOR6_PROKKA,allC,soft_core,43
-2,fdrA_2,ECOR6_03159,CDS,10139,11563,-,ECOR6_PROKKA,allC,soft_core,43
-1,fdrA_3,ECOR6_03160,CDS,11570,11806,-,ECOR6_PROKKA,allC,non_core,2
1,allD,ECOR6_03161,CDS,12123,13172,+,ECOR6_PROKKA,allC,core,44
2,allC,ECOR6_03162,CDS,13194,14429,+,ECOR6_PROKKA,allC,non_core,2
3,allE,ECOR6_03163,CDS,14440,15225,+,ECOR6_PROKKA,allC,core,44
4,glxK,ECOR6_03164,CDS,15453,16598,-,ECOR6_PROKKA,allC,core,44
5,ybbY,ECOR6_03165,CDS,16620,17921,-,ECOR6_PROKKA,allC,core,44
6,allB,ECOR6_03166,CDS,17978,19339,-,ECOR6_PROKKA,allC,non_core,4
7,ybbW_1,ECOR6_03167,CDS,19399,19755,-,ECOR6_PROKKA,allC,non_core,3
8,ybbW_2,ECOR6_03168,CDS,19762,20853,-,ECOR6_PROKKA,allC,soft_core,42
9,glxR,ECOR6_03169,CDS,21022,21900,-,ECOR6_PROKKA,allC,core,44
10,hyi,ECOR6_03170,CDS,22000,22776,-,ECOR6_PROKKA,allC,core,44
-9,rlmC,ECOR47_04381,CDS,103362,104489,+,ECOR47_PROKKA,amiD,soft_core,43
-8,ulaA_2,ECOR47_04382,CDS,104788,106113,+,ECOR47_PROKKA,amiD,non_core,3
-7,ulaB_2,ECOR47_04383,CDS,106135,106455,+,ECOR47_PROKKA,amiD,non_core,3
-6,,ECOR47_04384,CDS,106468,107949,+,ECOR47_PROKKA,amiD,non_core,3
-5,artJ,ECOR47_04385,CDS,108000,108731,-,ECOR47_PROKKA,amiD,soft_core,43
-4,artM_2,ECOR47_04386,CDS,108957,109625,-,ECOR47_PROKKA,amiD,soft_core,43
-3,artQ,ECOR47_04387,CDS,109625,110341,-,ECOR47_PROKKA,amiD,soft_core,43
-2,artI,ECOR47_04388,CDS,110348,111079,-,ECOR47_PROKKA,amiD,soft_core,43
-1,artP,ECOR47_04389,CDS,111097,111825,-,ECOR47_PROKKA,amiD,soft_core,43
1,ybjP,ECOR47_04390,CDS,112043,112558,-,ECOR47_PROKKA,amiD,non_core,33
2,,ECOR47_04391,CDS,113173,114975,+,ECOR47_PROKKA,amiD,non_core,8
3,,ECOR47_04392,CDS,115186,115509,+,ECOR47_PROKKA,amiD,soft_core,43
4,amiD,ECOR47_04393,CDS,115506,116336,+,ECOR47_PROKKA,amiD,soft_core,43
5,oleD_2,ECOR47_04394,CDS,116333,117346,-,ECOR47_PROKKA,amiD,soft_core,43
6,,ECOR47_04395,CDS,117445,118875,-,ECOR47_PROKKA,amiD,soft_core,43
7,ltaE,ECOR47_04396,CDS,118886,119887,-,ECOR47_PROKKA,amiD,soft_core,43
8,poxB,ECOR47_04397,CDS,119924,121642,-,ECOR47_PROKKA,amiD,soft_core,43
9,hcr,ECOR47_04398,CDS,121775,122743,-,ECOR47_PROKKA,amiD,soft_core,43
10,hcp,ECOR47_04399,CDS,122755,124407,-,ECOR47_PROKKA,amiD,soft_core,43
-9,potH,ECOR47_04378,CDS,100987,101931,+,ECOR47_PROKKA,artI,soft_core,43
-8,ydcV_3,ECOR47_04379,CDS,101928,102773,+,ECOR47_PROKKA,artI,soft_core,43
-7,ybjO,ECOR47_04380,CDS,102833,103321,+,ECOR47_PROKKA,artI,soft_core,43
-6,rlmC,ECOR47_04381,CDS,103362,104489,+,ECOR47_PROKKA,artI,soft_core,43
-5,ulaA_2,ECOR47_04382,CDS,104788,106113,+,ECOR47_PROKKA,artI,non_core,3
-4,ulaB_2,ECOR47_04383,CDS,106135,106455,+,ECOR47_PROKKA,artI,non_core,3
-3,,ECOR47_04384,CDS,106468,107949,+,ECOR47_PROKKA,artI,non_core,3
-2,artJ,ECOR47_04385,CDS,108000,108731,-,ECOR47_PROKKA,artI,soft_core,43
-1,artM_2,ECOR47_04386,CDS,108957,109625,-,ECOR47_PROKKA,artI,soft_core,43
1,artQ,ECOR47_04387,CDS,109625,110341,-,ECOR47_PROKKA,artI,soft_core,43
2,artI,ECOR47_04388,CDS,110348,111079,-,ECOR47_PROKKA,artI,soft_core,43
3,artP,ECOR47_04389,CDS,111097,111825,-,ECOR47_PROKKA,artI,soft_core,43
4,ybjP,ECOR47_04390,CDS,112043,112558,-,ECOR47_PROKKA,artI,non_core,33
5,,ECOR47_04391,CDS,113173,114975,+,ECOR47_PROKKA,artI,non_core,8
6,,ECOR47_04392,CDS,115186,115509,+,ECOR47_PROKKA,artI,soft_core,43
7,amiD,ECOR47_04393,CDS,115506,116336,+,ECOR47_PROKKA,artI,soft_core,43
8,oleD_2,ECOR47_04394,CDS,116333,117346,-,ECOR47_PROKKA,artI,soft_core,43
9,,ECOR47_04395,CDS,117445,118875,-,ECOR47_PROKKA,artI,soft_core,43
10,ltaE,ECOR47_04396,CDS,118886,119887,-,ECOR47_PROKKA,artI,soft_core,43
-9,,ECOR47_04372,CDS,95766,96053,+,ECOR47_PROKKA,artJ,soft_core,43
-8,nfsA,ECOR47_04373,CDS,96037,96759,+,ECOR47_PROKKA,artJ,soft_core,43
-7,rimK,ECOR47_04374,CDS,96820,97722,+,ECOR47_PROKKA,artJ,soft_core,43
-6,ybjN,ECOR47_04375,CDS,97810,98286,+,ECOR47_PROKKA,artJ,soft_core,43
-5,potF,ECOR47_04376,CDS,98637,99749,+,ECOR47_PROKKA,artJ,soft_core,43
-4,potA_3,ECOR47_04377,CDS,99844,100977,+,ECOR47_PROKKA,artJ,soft_core,43
-3,potH,ECOR47_04378,CDS,100987,101931,+,ECOR47_PROKKA,artJ,soft_core,43
-2,ydcV_3,ECOR47_04379,CDS,101928,102773,+,ECOR47_PROKKA,artJ,soft_core,43
-1,ybjO,ECOR47_04380,CDS,102833,103321,+,ECOR47_PROKKA,artJ,soft_core,43
1,rlmC,ECOR47_04381,CDS,103362,104489,+,ECOR47_PROKKA,artJ,soft_core,43
2,ulaA_2,ECOR47_04382,CDS,104788,106113,+,ECOR47_PROKKA,artJ,non_core,3
3,ulaB_2,ECOR47_04383,CDS,106135,106455,+,ECOR47_PROKKA,artJ,non_core,3
4,,ECOR47_04384,CDS,106468,107949,+,ECOR47_PROKKA,artJ,non_core,3
5,artJ,ECOR47_04385,CDS,108000,108731,-,ECOR47_PROKKA,artJ,soft_core,43
6,artM_2,ECOR47_04386,CDS,108957,109625,-,ECOR47_PROKKA,artJ,soft_core,43
7,artQ,ECOR47_04387,CDS,109625,110341,-,ECOR47_PROKKA,artJ,soft_core,43
8,artI,ECOR47_04388,CDS,110348,111079,-,ECOR47_PROKKA,artJ,soft_core,43
9,artP,ECOR47_04389,CDS,111097,111825,-,ECOR47_PROKKA,artJ,soft_core,43
10,ybjP,ECOR47_04390,CDS,112043,112558,-,ECOR47_PROKKA,artJ,non_core,33
-9,potF,ECOR47_04376,CDS,98637,99749,+,ECOR47_PROKKA,artM_2,soft_core,43
-8,potA_3,ECOR47_04377,CDS,99844,100977,+,ECOR47_PROKKA,artM_2,soft_core,43
-7,potH,ECOR47_04378,CDS,100987,101931,+,ECOR47_PROKKA,artM_2,soft_core,43
-6,ydcV_3,ECOR47_04379,CDS,101928,102773,+,ECOR47_PROKKA,artM_2,soft_core,43
-5,ybjO,ECOR47_04380,CDS,102833,103321,+,ECOR47_PROKKA,artM_2,soft_core,43
-4,rlmC,ECOR47_04381,CDS,103362,104489,+,ECOR47_PROKKA,artM_2,soft_core,43
-3,ulaA_2,ECOR47_04382,CDS,104788,106113,+,ECOR47_PROKKA,artM_2,non_core,3
-2,ulaB_2,ECOR47_04383,CDS,106135,106455,+,ECOR47_PROKKA,artM_2,non_core,3
-1,,ECOR47_04384,CDS,106468,107949,+,ECOR47_PROKKA,artM_2,non_core,3
1,artJ,ECOR47_04385,CDS,108000,108731,-,ECOR47_PROKKA,artM_2,soft_core,43
2,artM_2,ECOR47_04386,CDS,108957,109625,-,ECOR47_PROKKA,artM_2,soft_core,43
3,artQ,ECOR47_04387,CDS,109625,110341,-,ECOR47_PROKKA,artM_2,soft_core,43
4,artI,ECOR47_04388,CDS,110348,111079,-,ECOR47_PROKKA,artM_2,soft_core,43
5,artP,ECOR47_04389,CDS,111097,111825,-,ECOR47_PROKKA,artM_2,soft_core,43
6,ybjP,ECOR47_04390,CDS,112043,112558,-,ECOR47_PROKKA,artM_2,non_core,33
7,,ECOR47_04391,CDS,113173,114975,+,ECOR47_PROKKA,artM_2,non_core,8
8,,ECOR47_04392,CDS,115186,115509,+,ECOR47_PROKKA,artM_2,soft_core,43
9,amiD,ECOR47_04393,CDS,115506,116336,+,ECOR47_PROKKA,artM_2,soft_core,43
10,oleD_2,ECOR47_04394,CDS,116333,117346,-,ECOR47_PROKKA,artM_2,soft_core,43
-9,potF,ECOR47_04376,CDS,98637,99749,+,ECOR47_PROKKA,artP,soft_core,43
